time,AccelerometerX,AccelerometerY,AccelerometerZ
0.052,-0.3812,0.3111,0.8793
0.052,-0.3812,0.3111,0.8793
0.052,-0.3812,0.3111,0.8793
0.052,-0.3812,0.3111,0.8793
0.052,-0.3981,0.2876,0.8309
0.052,-0.3981,0.2876,0.8309
0.052,-0.3981,0.2876,0.8309
0.053,-0.3981,0.2876,0.8309
0.053,-0.3981,0.2876,0.8309
0.053,-0.3756,0.2994,0.8693
0.053,-0.3756,0.2994,0.8693
0.053,-0.3756,0.2994,0.8693
0.053,-0.4221,0.3387,0.9096
0.053,-0.4221,0.3387,0.9096
0.053,-0.4221,0.3387,0.9096
0.053,-0.4157,0.3228,0.9121
0.053,-0.4157,0.3228,0.9121
0.053,-0.4157,0.3228,0.9121
0.053,-0.391,0.2947,0.9069
0.053,-0.391,0.2947,0.9069
0.053,-0.391,0.2947,0.9069
0.054,-0.391,0.2947,0.9069
0.054,-0.391,0.2947,0.9069
0.054,-0.39,0.3013,0.8862
0.054,-0.39,0.3013,0.8862
0.054,-0.39,0.3013,0.8862
0.067,-0.3861,0.3079,0.8637
0.067,-0.3861,0.3079,0.8637
0.067,-0.3861,0.3079,0.8637
0.089,-0.3893,0.3128,0.8691
0.089,-0.3893,0.3128,0.8691
0.089,-0.3893,0.3128,0.8691
0.157,-0.3854,0.3175,0.8886
0.157,-0.3854,0.3175,0.8886
0.158,-0.3854,0.3175,0.8886
0.158,-0.3854,0.3175,0.8886
0.158,-0.3854,0.3175,0.8886
0.158,-0.404,0.3184,0.891
0.158,-0.404,0.3184,0.891
0.158,-0.404,0.3184,0.891
0.158,-0.404,0.3184,0.891
0.158,-0.3949,0.3028,0.8854
0.158,-0.3949,0.3028,0.8854
0.158,-0.3949,0.3028,0.8854
0.165,-0.3795,0.2945,0.8749
0.166,-0.3795,0.2945,0.8749
0.166,-0.3795,0.2945,0.8749
0.185,-0.39,0.305,0.8639
0.185,-0.39,0.305,0.8639
0.185,-0.39,0.305,0.8639
0.187,-0.39,0.305,0.8639
0.187,-0.39,0.305,0.8639
0.205,-0.4015,0.3109,0.8603
0.205,-0.4015,0.3109,0.8603
0.205,-0.4015,0.3109,0.8603
0.226,-0.3776,0.2989,0.8796
0.226,-0.3776,0.2989,0.8796
0.226,-0.3776,0.2989,0.8796
0.245,-0.3781,0.2989,0.8862
0.246,-0.3781,0.2989,0.8862
0.246,-0.3781,0.2989,0.8862
0.265,-0.3891,0.3138,0.8683
0.265,-0.3891,0.3138,0.8683
0.266,-0.3891,0.3138,0.8683
0.268,-0.3891,0.3138,0.8683
0.268,-0.3891,0.3138,0.8683
0.285,-0.3947,0.3048,0.8942
0.285,-0.3947,0.3048,0.8942
0.285,-0.3947,0.3048,0.8942
0.305,-0.3925,0.2991,0.9074
0.306,-0.3925,0.2991,0.9074
0.306,-0.3925,0.2991,0.9074
0.324,-0.3915,0.3111,0.8849
0.325,-0.3915,0.3111,0.8849
0.325,-0.3915,0.3111,0.8849
0.339,-0.3915,0.3111,0.8849
0.344,-0.392,0.3082,0.9077
0.344,-0.392,0.3082,0.9077
0.345,-0.392,0.3082,0.9077
0.347,-0.392,0.3082,0.9077
0.347,-0.392,0.3082,0.9077
0.365,-0.3913,0.3101,0.9057
0.365,-0.3913,0.3101,0.9057
0.365,-0.3913,0.3101,0.9057
0.385,-0.3781,0.3023,0.8896
0.386,-0.3781,0.3023,0.8896
0.386,-0.3781,0.3023,0.8896
0.404,-0.3553,0.283,0.894
0.405,-0.3553,0.283,0.894
0.405,-0.3553,0.283,0.894
0.424,-0.3566,0.2952,0.8962
0.424,-0.3566,0.2952,0.8962
0.424,-0.3566,0.2952,0.8962
0.426,-0.3566,0.2952,0.8962
0.426,-0.3566,0.2952,0.8962
0.444,-0.3976,0.3123,0.9016
0.445,-0.3976,0.3123,0.9016
0.445,-0.3976,0.3123,0.9016
0.465,-0.3869,0.3092,0.8952
0.465,-0.3869,0.3092,0.8952
0.505,-0.3869,0.3092,0.8952
0.505,-0.3856,0.3094,0.8874
0.505,-0.3856,0.3094,0.8874
0.505,-0.3856,0.3094,0.8874
0.505,-0.383,0.3038,0.8715
0.505,-0.383,0.3038,0.8715
0.506,-0.383,0.3038,0.8715
0.507,-0.383,0.3038,0.8715
0.507,-0.383,0.3038,0.8715
0.523,-0.3781,0.2989,0.8847
0.523,-0.3781,0.2989,0.8847
0.523,-0.3781,0.2989,0.8847
0.537,-0.3781,0.2989,0.8847
0.544,-0.3793,0.303,0.8825
0.544,-0.3793,0.303,0.8825
0.545,-0.3793,0.303,0.8825
0.563,-0.3663,0.306,0.8827
0.563,-0.3663,0.306,0.8827
0.563,-0.3663,0.306,0.8827
0.583,-0.3541,0.2967,0.8869
0.583,-0.3541,0.2967,0.8869
0.583,-0.3541,0.2967,0.8869
0.585,-0.3541,0.2967,0.8869
0.586,-0.3541,0.2967,0.8869
0.603,-0.3685,0.3101,0.8932
0.603,-0.3685,0.3101,0.8932
0.603,-0.3685,0.3101,0.8932
0.624,-0.3773,0.317,0.8962
0.624,-0.3773,0.317,0.8962
0.624,-0.3773,0.317,0.8962
0.643,-0.3578,0.2982,0.8942
0.643,-0.3578,0.2982,0.8942
0.643,-0.3578,0.2982,0.8942
0.663,-0.3575,0.2972,0.8866
0.663,-0.3575,0.2972,0.8866
