
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0200,-0.1909,-1.0176,0.0494
0.0200,-0.1909,-1.0176,0.0494
0.0200,-0.1909,-1.0176,0.0494
0.0260,-0.2463,-0.9795,0.0230
0.0260,-0.2463,-0.9795,0.0230
0.0260,-0.2463,-0.9795,0.0230
0.0550,-0.1760,-0.9309,-0.0274
0.0550,-0.1760,-0.9309,-0.0274
0.0550,-0.1760,-0.9309,-0.0274
0.0630,-0.1339,-0.9392,-0.0687
0.0640,-0.1339,-0.9392,-0.0687
0.0640,-0.1339,-0.9392,-0.0687
0.0640,-0.1339,-0.9392,-0.0687
0.0640,-0.1339,-0.9392,-0.0687
0.0820,-0.1637,-0.9509,-0.0525
0.0820,-0.1637,-0.9509,-0.0525
0.0820,-0.1637,-0.9509,-0.0525
0.0940,-0.1637,-0.9509,-0.0525
0.1050,-0.2046,-0.9463,-0.0596
0.1050,-0.2046,-0.9463,-0.0596
0.1050,-0.2046,-0.9463,-0.0596
0.1220,-0.2241,-0.9416,-0.0533
0.1220,-0.2241,-0.9416,-0.0533
0.1220,-0.2241,-0.9416,-0.0533
0.1420,-0.2202,-0.9414,-0.0523
0.1420,-0.2202,-0.9414,-0.0523
0.1420,-0.2202,-0.9414,-0.0523
0.1430,-0.2202,-0.9414,-0.0523
0.1610,-0.2226,-0.9453,-0.0525
0.1620,-0.2226,-0.9453,-0.0525
0.1620,-0.2226,-0.9453,-0.0525
0.1810,-0.2207,-0.9377,-0.0726
0.1820,-0.2207,-0.9377,-0.0726
0.1820,-0.2207,-0.9377,-0.0726
0.2010,-0.2087,-0.9240,-0.0978
0.2020,-0.2087,-0.9240,-0.0978
0.2020,-0.2087,-0.9240,-0.0978
0.2210,-0.1987,-0.9267,-0.0628
0.2220,-0.1987,-0.9267,-0.0628
0.2220,-0.1987,-0.9267,-0.0628
0.2250,-0.1987,-0.9267,-0.0628
0.2250,-0.1987,-0.9267,-0.0628
0.2410,-0.2053,-0.9404,-0.0269
0.2410,-0.2053,-0.9404,-0.0269
0.2410,-0.2053,-0.9404,-0.0269
0.2600,-0.1674,-0.9490,-0.0589
0.2610,-0.1674,-0.9490,-0.0589
0.2610,-0.1674,-0.9490,-0.0589
0.2620,-0.1674,-0.9490,-0.0589
0.2800,-0.1769,-0.9512,-0.0567
0.2810,-0.1769,-0.9512,-0.0567
