
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0190,-0.2300,1.0325,0.1114
0.0200,-0.2300,1.0325,0.1114
0.0200,-0.2300,1.0325,0.1114
0.0200,-0.2248,1.0321,0.0965
0.0210,-0.2395,1.0081,0.1403
0.0570,-0.2395,1.0081,0.1403
0.0570,-0.2395,1.0081,0.1403
0.0580,-0.2395,1.0081,0.1403
0.0580,-0.2395,1.0081,0.1403
0.0580,-0.2314,1.0316,0.1141
0.0640,-0.2314,1.0316,0.1141
0.0650,-0.2314,1.0316,0.1141
0.0650,-0.2314,1.0316,0.1141
0.0660,-0.2334,1.0387,0.1124
0.0660,-0.2334,1.0387,0.1124
0.0930,-0.2334,1.0387,0.1124
0.0930,-0.2334,1.0387,0.1124
0.0940,-0.2334,1.0387,0.1124
0.0940,-0.2427,1.0252,0.1100
0.0940,-0.2434,1.0269,0.1198
0.1220,-0.2434,1.0269,0.1198
0.1220,-0.2434,1.0269,0.1198
0.1220,-0.2434,1.0269,0.1198
0.1220,-0.2419,1.0252,0.1261
0.1430,-0.2419,1.0252,0.1261
0.1430,-0.2419,1.0252,0.1261
0.1430,-0.2419,1.0252,0.1261
0.1440,-0.2466,1.0242,0.1180
0.1440,-0.2466,1.0242,0.1180
0.1720,-0.2466,1.0242,0.1180
0.1720,-0.2466,1.0242,0.1180
0.1730,-0.2466,1.0242,0.1180
0.1730,-0.2424,1.0233,0.1119
0.1740,-0.2358,1.0279,0.1132
0.2020,-0.2358,1.0279,0.1132
0.2020,-0.2358,1.0279,0.1132
0.2030,-0.2358,1.0279,0.1132
0.2030,-0.2351,1.0279,0.1061
0.2230,-0.2351,1.0279,0.1061
0.2250,-0.2351,1.0279,0.1061
0.2250,-0.2351,1.0279,0.1061
0.2250,-0.2344,1.0242,0.1151
0.2250,-0.2344,1.0242,0.1151
0.2420,-0.2344,1.0242,0.1151
0.2450,-0.2344,1.0242,0.1151
0.2520,-0.2344,1.0242,0.1151
0.2520,-0.2344,1.0242,0.1151
0.2530,-0.2344,1.0242,0.1151
0.2540,-0.2305,1.0306,0.1097
0.2540,-0.2371,1.0245,0.1122
0.2830,-0.2371,1.0245,0.1122
0.2830,-0.2371,1.0245,0.1122
0.2830,-0.2371,1.0245,0.1122
0.2850,-0.2341,1.0196,0.1241
0.3030,-0.2341,1.0196,0.1241
0.3040,-0.2341,1.0196,0.1241
0.3040,-0.2341,1.0196,0.1241
0.3050,-0.2226,1.0328,0.1095
0.3050,-0.2226,1.0328,0.1095
0.3320,-0.2226,1.0328,0.1095
0.3330,-0.2226,1.0328,0.1095
0.3330,-0.2226,1.0328,0.1095
0.3350,-0.2197,1.0325,0.0956
0.3350,-0.2243,1.0267,0.1158
0.3630,-0.2243,1.0267,0.1158
0.3630,-0.2243,1.0267,0.1158
0.3630,-0.2243,1.0267,0.1158
0.3640,-0.2368,1.0269,0.1151
0.3830,-0.2368,1.0269,0.1151
0.3840,-0.2368,1.0269,0.1151
0.3850,-0.2368,1.0269,0.1151
0.3850,-0.2444,1.0274,0.1092
0.3850,-0.2444,1.0274,0.1092
0.4130,-0.2444,1.0274,0.1092
0.4130,-0.2444,1.0274,0.1092
0.4130,-0.2444,1.0274,0.1092
0.4140,-0.2559,1.0184,0.1259
0.4140,-0.2659,1.0181,0.1303
0.4430,-0.2659,1.0181,0.1303
0.4460,-0.2659,1.0181,0.1303
0.4540,-0.2659,1.0181,0.1303
0.4550,-0.2659,1.0181,0.1303
0.4550,-0.2573,1.0291,0.1144
0.4550,-0.2573,1.0291,0.1144
0.4630,-0.2573,1.0291,0.1144
0.4640,-0.2573,1.0291,0.1144
0.4640,-0.2573,1.0291,0.1144
0.4640,-0.2444,1.0294,0.1046
0.4650,-0.2444,1.0294,0.1046
0.4930,-0.2444,1.0294,0.1046
0.4930,-0.2444,1.0294,0.1046
0.4930,-0.2444,1.0294,0.1046
0.4940,-0.2383,1.0215,0.1056
0.4950,-0.2361,1.0206,0.1200
0.5240,-0.2361,1.0206,0.1200
0.5240,-0.2361,1.0206,0.1200
0.5240,-0.2361,1.0206,0.1200
0.5240,-0.2363,1.0279,0.1215
0.5440,-0.2363,1.0279,0.1215
0.5450,-0.2363,1.0279,0.1215
0.5450,-0.2363,1.0279,0.1215
0.5460,-0.2312,1.0277,0.1129
0.5460,-0.2312,1.0277,0.1129
0.5720,-0.2312,1.0277,0.1129
0.5730,-0.2312,1.0277,0.1129
0.5730,-0.2312,1.0277,0.1129
0.5740,-0.2256,1.0213,0.1144
0.5740,-0.2312,1.0279,0.1102
0.6030,-0.2312,1.0279,0.1102
0.6040,-0.2312,1.0279,0.1102
0.6040,-0.2312,1.0279,0.1102
0.6040,-0.2383,1.0350,0.1041
0.6240,-0.2383,1.0350,0.1041
0.6250,-0.2383,1.0350,0.1041
0.6260,-0.2383,1.0350,0.1041
0.6260,-0.2419,1.0252,0.1075
0.6260,-0.2419,1.0252,0.1075
0.6420,-0.2419,1.0252,0.1075
0.6460,-0.2419,1.0252,0.1075
0.6530,-0.2419,1.0252,0.1075
0.6530,-0.2419,1.0252,0.1075
0.6540,-0.2419,1.0252,0.1075
0.6550,-0.2461,1.0167,0.1249
0.6560,-0.2488,1.0218,0.1278
